level,series,comparison,model_a,model_b,horizon,n,origins,mae_a,mae_b,delta_mae_pct_b_vs_a,delta_mae_pct_ci95_lo,delta_mae_pct_ci95_hi,better_by_mae,dm_abs,p_abs,sig_abs,dm_sq,p_sq,sig_sq
path,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,1,47,47,0.4364462630900924,0.44538861603432467,2.0489012509625697,-1.627899658893977,5.726294925464298,timesfm_C0,-1.0969224774982147,0.2783845510722307,ns,-1.325193498814463,0.1916518484541549,ns
path,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,3,135,45,0.7319747979058157,0.7459643550166375,1.9112074829414953,0.3103380957080278,3.6919136699617887,timesfm_C0,-2.6326919580758577,0.009466105310488863,**,-1.9588213173710483,0.0522103111980012,*
path,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,6,252,42,1.0866265689910402,1.0999510580395893,1.2262252211374902,0.080473595826058,2.405909053412028,timesfm_C0,-2.3809981787846697,0.01801240474053852,**,-2.231318679110683,0.026543637696873502,**
path,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,12,432,36,1.8634840862132884,1.8781002200091323,0.7843444386769507,0.021899054511631332,1.645443126397283,timesfm_C0,-2.098981784926941,0.03639968736790053,**,-2.0724940517775217,0.03881333338045781,**
endpoint,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,1,47,47,0.4364462630900924,0.44538861603432467,2.0489012509625697,-1.627899658893977,5.726294925464298,timesfm_C0,-1.0969224774982147,0.2783845510722307,ns,-1.325193498814463,0.1916518484541549,ns
endpoint,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,3,45,45,1.0179318901909722,1.0375726182725695,1.9294736976864513,0.4847403449719789,3.608825838604692,timesfm_C0,-2.915171609803204,0.005572924146283211,**,-2.987599719727996,0.00458461050488567,**
endpoint,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,6,42,42,1.5794145609537753,1.5909442109607508,0.7299951698566692,-0.263638126506151,1.8576028568751204,timesfm_C0,-1.3217400280244826,0.19358256171083518,ns,-1.821517022725099,0.07582994555470532,*
endpoint,Spain,TimesFM context,timesfm_C0,timesfm_C1_inst,12,36,36,3.088408031887478,3.1024208984374995,0.45372458578466074,-0.11714727804514766,1.0810660057375712,timesfm_C0,-1.6678106503778056,0.10427757805905298,ns,-1.6447894557374376,0.10896661142344097,ns
path,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,1,47,47,0.4364462630900924,0.4364462630900924,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
path,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,3,135,45,0.7319747979058157,0.7319747979058157,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
path,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,6,252,42,1.0866265689910402,1.0866265689910402,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
path,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,12,432,36,1.8634840862132884,1.8634840862132884,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
endpoint,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,1,47,47,0.4364462630900924,0.4364462630900924,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
endpoint,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,3,45,45,1.0179318901909722,1.0179318901909722,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
endpoint,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,6,42,42,1.5794145609537753,1.5794145609537753,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
endpoint,Spain,TimesFM validated context,timesfm_C0,timesfm_C1_validated,12,36,36,3.088408031887478,3.088408031887478,0.0,0.0,0.0,timesfm_C1_validated,nan,nan,NA,nan,nan,NA
path,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,1,47,47,0.520191394562417,0.548837315336186,5.506804048126511,-10.98585843461733,25.31397246799519,chronos2_C0,-0.6327847839986217,0.5300074403258785,ns,0.27970473770894383,0.7809579427919849,ns
path,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,3,135,45,0.817865071162471,0.8212405978732632,0.4127241558310372,-10.499808906459977,11.557149927454576,chronos2_C0,-0.05878683432483062,0.9532094726385391,ns,-0.2960743840853892,0.7676316258259481,ns
path,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,6,252,42,1.2059815097384978,1.2370255700974233,2.5741738250744,-5.644001584954,10.119821556782975,chronos2_C0,-0.45912974692485414,0.6465383527592607,ns,-1.0844742961601717,0.27919511042004397,ns
path,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,12,432,36,1.9897638182463468,2.0693738786202887,4.000980399980593,-4.343696886820592,12.16072854836694,chronos2_C0,-0.6947308870373509,0.48759830383155145,ns,-1.3205855939106663,0.18734037235934617,ns
endpoint,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,1,47,47,0.520191394562417,0.548837315336186,5.506804048126511,-10.98585843461733,25.31397246799519,chronos2_C0,-0.6327847839986217,0.5300074403258785,ns,0.27970473770894383,0.7809579427919849,ns
endpoint,Spain,Chronos-2 context,chronos2_C0,chronos2_C1_inst,3,45,45,1.0943259914822048,1.06960026312934,-2.2594481484786035,-13.3754085079126,7.745974525754783,chronos2_C1_inst,0.2963078810557379,0.7683890856156982,ns,-0.49160769282906724,0.6254402973315876,ns
